Symptom1,Symptom2,Symptom3,Disease
Hearing loss,Fatigue,Cough,Arthritis_672673
Dry mouth,Rash,Diarrhea,HIV/AIDS_799966
Rash,Swollen glands,Runny nose,Tuberculosis_631952
Sore throat,Swollen glands,Rash,Thalassemia_764883
Anxiety,Red eyes,Itchy skin,Bronchitis_637530
Blurred vision,Runny nose,Depression,Rabies_685114
Anxiety,Dry mouth,Cough,Zika Virus_626060
Chills,Joint pain,Muscle pain,Lupus_343190
Swollen glands,Headache,Weight loss,Tonsillitis_311692
Back pain,Dizziness,Fatigue,HIV/AIDS_836582
Chills,Diarrhea,Night sweats,Sinusitis_310354
Depression,Sneezing,Fatigue,COVID-19_154243
Hearing loss,Tremors,Sweating,Measles_527237
Itchy skin,Blurred vision,Sore throat,Typhoid_36534
Back pain,Sweating,Rash,Leprosy_587633
Sweating,Red eyes,Weight loss,Bronchitis_172976
Fatigue,Headache,Sweating,HIV/AIDS_260570
Dizziness,Red eyes,Night sweats,Asthma_645935
Vomiting,Headache,Hair loss,Scabies_71659
Shortness of breath,Abdominal pain,Weight loss,Gastroenteritis_925911
Fever,Cough,Shortness of breath,Hepatitis A_381720
Hearing loss,Headache,Joint pain,Gonorrhea_729125
Hair loss,Insomnia,Vomiting,Pneumonia_130787
Depression,Back pain,Chest pain,Gastroenteritis_869883
Runny nose,Sweating,Blurred vision,Diabetes_485301
Joint pain,Red eyes,Rash,Meningitis_912442
Weight loss,Sweating,Tremors,Celiac Disease_874155
Shortness of breath,Wheezing,Jaundice,Epilepsy_354498
Abdominal pain,Wheezing,Tremors,Bronchitis_908884
Vomiting,Red eyes,Swollen glands,Asthma_744421
Itchy skin,Vomiting,Anxiety,Zika Virus_69322
Chills,Loss of appetite,Abdominal pain,Multiple Sclerosis_111538
Hair loss,Constipation,Loss of appetite,Epilepsy_55590
Constipation,Vomiting,Wheezing,Cholera_575617
Muscle pain,Headache,Anxiety,COVID-19_721331
Fever,Night sweats,Diarrhea,Depression_526353
Runny nose,Fever,Itchy skin,Celiac Disease_626721
Palpitations,Joint pain,Loss of appetite,Diabetes_576059
Depression,Hearing loss,Weight loss,Malaria_12105
Fever,Sneezing,Runny nose,Gastroenteritis_777239
Anxiety,Dizziness,Palpitations,Hepatitis B_571761
Dizziness,Loss of appetite,Weight loss,Jaundice_540804
Itchy skin,Insomnia,Runny nose,Psoriasis_687781
Constipation,Night sweats,Hair loss,Tetanus_380414
Nausea,Back pain,Itchy skin,Bronchitis_273762
Blurred vision,Headache,Swollen glands,Cholera_166723
Runny nose,Headache,Vomiting,Influenza_64682
Fever,Headache,Vomiting,Multiple Sclerosis_146544
Jaundice,Red eyes,Sneezing,Conjunctivitis_857828
Weight loss,Constipation,Nausea,Diabetes_660193
Jaundice,Insomnia,Sore throat,Depression_785057
Joint pain,Sneezing,Jaundice,Measles_273317
Dry mouth,Back pain,Hair loss,Typhoid_411756
Sore throat,Sneezing,Blurred vision,Cholera_277031
Jaundice,Joint pain,Dizziness,Gonorrhea_362735
Cough,Headache,Constipation,COVID-19_763605
Tremors,Abdominal pain,Fatigue,Vertigo_459263
Cough,Dry mouth,Constipation,Influenza_781776
Hearing loss,Headache,Palpitations,Tonsillitis_791564
Runny nose,Insomnia,Tremors,Zika Virus_592342
Muscle pain,Sneezing,Swollen glands,Depression_695587
Fatigue,Tingling,Hair loss,Psoriasis_969439
Cough,Sneezing,Sore throat,Hepatitis A_274310
Vomiting,Red eyes,Cough,Asthma_681493
Muscle pain,Dizziness,Rash,Typhoid_850320
Back pain,Blurred vision,Shortness of breath,Typhoid_182032
Jaundice,Back pain,Weight loss,Gastroenteritis_473593
Dry mouth,Wheezing,Sore throat,Dengue_241002
Blurred vision,Shortness of breath,Palpitations,Hypertension_421914
Nausea,Chest pain,Insomnia,Measles_335417
Dry mouth,Abdominal pain,Constipation,Epilepsy_979224
Chest pain,Joint pain,Tremors,Thalassemia_233307
Palpitations,Chills,Loss of appetite,Multiple Sclerosis_172810
Weight loss,Hearing loss,Sneezing,Arthritis_25867
Shortness of breath,Back pain,Muscle pain,Hepatitis B_191571
Diarrhea,Depression,Fever,Pneumonia_571237
Depression,Itchy skin,Red eyes,Rabies_821090
Constipation,Hair loss,Wheezing,Leprosy_866807
Abdominal pain,Itchy skin,Red eyes,Gonorrhea_470007
Hearing loss,Back pain,Sneezing,Gonorrhea_738923
Diarrhea,Jaundice,Blurred vision,Tonsillitis_76954
Tingling,Dizziness,Night sweats,Hepatitis A_880544
Tremors,Dry mouth,Loss of appetite,Hepatitis A_212394
Headache,Palpitations,Blurred vision,Multiple Sclerosis_370058
Shortness of breath,Chills,Muscle pain,Multiple Sclerosis_598034
Constipation,Dry mouth,Rash,Measles_666157
Diarrhea,Back pain,Depression,Gastroenteritis_31671
Fever,Insomnia,Cough,Leprosy_922283
Itchy skin,Shortness of breath,Weight loss,Hepatitis A_774928
Back pain,Headache,Abdominal pain,Rabies_929696
Night sweats,Wheezing,Joint pain,Meningitis_450142
Hearing loss,Weight loss,Tremors,Hypertension_180552
Sweating,Joint pain,Hair loss,Hypertension_643726
Chest pain,Cough,Dizziness,Glaucoma_924394
Night sweats,Cough,Insomnia,Psoriasis_649785
Hearing loss,Chills,Cough,Pneumonia_852343
Runny nose,Loss of appetite,Diarrhea,Asthma_721191
Hearing loss,Sore throat,Sweating,Gastroenteritis_53889
Hearing loss,Nausea,Sore throat,Pneumonia_646171
Diarrhea,Loss of appetite,Red eyes,Multiple Sclerosis_487496
Diarrhea,Insomnia,Runny nose,Scabies_738107
Headache,Nausea,Fatigue,Asthma_283961
Vomiting,Wheezing,Insomnia,Epilepsy_205596
Sneezing,Wheezing,Depression,Meningitis_497752
Nausea,Headache,Depression,Hepatitis B_3385
Joint pain,Itchy skin,Fatigue,Epilepsy_419174
Blurred vision,Tremors,Loss of appetite,Migraine_984551
Vomiting,Diarrhea,Blurred vision,Meningitis_365686
Fatigue,Night sweats,Loss of appetite,Multiple Sclerosis_716760
Cough,Swollen glands,Tingling,Chikungunya_140364
Chest pain,Runny nose,Diarrhea,Diabetes_371267
Back pain,Muscle pain,Tingling,Vertigo_265557
Cough,Sore throat,Shortness of breath,Tetanus_491458
Chills,Blurred vision,Headache,COVID-19_195045
Jaundice,Dizziness,Loss of appetite,Tuberculosis_974376
Night sweats,Tingling,Headache,Glaucoma_661780
Chest pain,Joint pain,Dizziness,Gonorrhea_286651
Rash,Hearing loss,Chest pain,Measles_471899
Dry mouth,Insomnia,Tingling,Anemia_122558
Muscle pain,Palpitations,Insomnia,Tonsillitis_492978
Anxiety,Cough,Chest pain,Scabies_340299
Anxiety,Hair loss,Runny nose,Mononucleosis_927485
Jaundice,Chills,Insomnia,Scabies_163613
Cough,Chest pain,Abdominal pain,Scabies_667589
Sneezing,Blurred vision,Swollen glands,Migraine_486969
Nausea,Chest pain,Fatigue,Ulcerative Colitis_130407
Fever,Palpitations,Chest pain,Arthritis_914173
Rash,Blurred vision,Sweating,Conjunctivitis_231630
Palpitations,Dry mouth,Vomiting,Dengue_865866
Itchy skin,Night sweats,Muscle pain,Epilepsy_196856
Hearing loss,Back pain,Chills,Rabies_482714
Depression,Vomiting,Chest pain,Arthritis_450769
Abdominal pain,Sneezing,Insomnia,Malaria_384199
Vomiting,Tingling,Red eyes,HIV/AIDS_254360
Night sweats,Depression,Jaundice,Tonsillitis_775970
Tingling,Rash,Anxiety,Malaria_229271
Jaundice,Dry mouth,Chest pain,Gonorrhea_296587
Loss of appetite,Hair loss,Fatigue,Pneumonia_426935
Tingling,Loss of appetite,Jaundice,Conjunctivitis_973794
Insomnia,Chest pain,Hearing loss,Hypertension_749296
Tremors,Blurred vision,Swollen glands,Migraine_541663
Jaundice,Insomnia,Hair loss,Chickenpox_866145
Anxiety,Joint pain,Insomnia,Asthma_586227
Fever,Nausea,Constipation,Tetanus_181878
Headache,Muscle pain,Tingling,Migraine_363643
Headache,Vomiting,Shortness of breath,Meningitis_262278
Insomnia,Jaundice,Night sweats,Diabetes_540547
Jaundice,Weight loss,Sweating,Bronchitis_166168
Tingling,Blurred vision,Dizziness,Jaundice_418766
Cough,Nausea,Insomnia,Pneumonia_962467
Joint pain,Cough,Sore throat,Meningitis_209378
Chest pain,Sweating,Tingling,Lupus_523280
Palpitations,Swollen glands,Blurred vision,Psoriasis_484093
Depression,Sneezing,Headache,Scabies_664783
Loss of appetite,Hearing loss,Red eyes,Scabies_32421
Wheezing,Vomiting,Itchy skin,Glaucoma_768270
Sweating,Anxiety,Sore throat,Syphilis_404655
Dry mouth,Fever,Constipation,Vertigo_801365
Fever,Palpitations,Abdominal pain,Conjunctivitis_90502
Shortness of breath,Tremors,Night sweats,Tuberculosis_205210
Tingling,Loss of appetite,Swollen glands,Tuberculosis_10860
Sweating,Hearing loss,Loss of appetite,Tonsillitis_401484
Cough,Runny nose,Vomiting,Hypertension_404894
Runny nose,Vomiting,Joint pain,Meningitis_321020
Hearing loss,Depression,Sore throat,Leprosy_506857
Runny nose,Tremors,Sore throat,Sinusitis_760280
Tingling,Chest pain,Depression,Gastroenteritis_546549
Back pain,Itchy skin,Chest pain,Migraine_358675
Nausea,Palpitations,Weight loss,HIV/AIDS_348338
Dry mouth,Wheezing,Itchy skin,Epilepsy_416368
Depression,Runny nose,Rash,Leprosy_268393
Tremors,Wheezing,Vomiting,Epilepsy_221466
Sore throat,Abdominal pain,Hair loss,Sinusitis_552314
Back pain,Night sweats,Chest pain,Glaucoma_600738
Constipation,Shortness of breath,Dizziness,Meningitis_532252
Chills,Constipation,Shortness of breath,Rabies_731620
Abdominal pain,Headache,Blurred vision,Celiac Disease_462869
Sore throat,Swollen glands,Weight loss,Jaundice_142536
Runny nose,Insomnia,Tremors,Anemia_782152
Insomnia,Blurred vision,Diarrhea,Arthritis_510569
Sore throat,Rash,Jaundice,Chickenpox_980271
Shortness of breath,Sore throat,Muscle pain,Tetanus_916774
Abdominal pain,Fever,Shortness of breath,Chickenpox_46471
Sneezing,Fatigue,Depression,HIV/AIDS_82964
Headache,Muscle pain,Insomnia,Leprosy_315405
Depression,Abdominal pain,Joint pain,Syphilis_83115
Nausea,Shortness of breath,Fever,Typhoid_138746
Anxiety,Muscle pain,Hair loss,Epilepsy_297550
Constipation,Back pain,Dizziness,Multiple Sclerosis_393288
Constipation,Chest pain,Anxiety,Malaria_709097
Anxiety,Sweating,Headache,Ulcerative Colitis_283219
Muscle pain,Weight loss,Sneezing,Lupus_734650
Hair loss,Depression,Loss of appetite,Asthma_418465
Rash,Vomiting,Diarrhea,Celiac Disease_736615
Back pain,Red eyes,Sweating,Arthritis_87829
Tingling,Headache,Dry mouth,Tetanus_654942
Blurred vision,Hearing loss,Sore throat,Asthma_277935
Chills,Night sweats,Red eyes,Malaria_469759
Rash,Weight loss,Runny nose,Vertigo_91125
Anxiety,Red eyes,Wheezing,Cholera_757639
Muscle pain,Night sweats,Runny nose,Anemia_795170
Swollen glands,Hair loss,Chills,Ulcerative Colitis_275951
Diarrhea,Itchy skin,Wheezing,Conjunctivitis_192668
Itchy skin,Loss of appetite,Nausea,Bronchitis_500542
Jaundice,Loss of appetite,Rash,Typhoid_212162
Wheezing,Diarrhea,Muscle pain,Bronchitis_628422
Itchy skin,Jaundice,Dizziness,Influenza_751370
Joint pain,Fever,Nausea,Dengue_506560
Rash,Loss of appetite,Tremors,Tonsillitis_762262
Night sweats,Runny nose,Chest pain,Diabetes_31235
Dry mouth,Vomiting,Sore throat,Leprosy_812527
Tingling,Red eyes,Vomiting,Hepatitis B_349397
Sweating,Tremors,Sneezing,Tuberculosis_736096
Insomnia,Vomiting,Constipation,Depression_128131
Fatigue,Chills,Sneezing,Malaria_902573
Depression,Palpitations,Hearing loss,Epilepsy_278092
Night sweats,Itchy skin,Anxiety,Pneumonia_324447
Depression,Diarrhea,Joint pain,Migraine_205955
Sore throat,Chills,Palpitations,COVID-19_224531
Insomnia,Diarrhea,Tremors,Conjunctivitis_522672
Muscle pain,Sneezing,Abdominal pain,Dengue_887762
Tremors,Loss of appetite,Jaundice,Psoriasis_875093
Sore throat,Fatigue,Dizziness,Conjunctivitis_830918
Abdominal pain,Rash,Joint pain,Scabies_430045
Cough,Constipation,Itchy skin,Epilepsy_52968
Swollen glands,Night sweats,Fatigue,Tetanus_473150
Headache,Chest pain,Sweating,Thalassemia_286943
Sore throat,Itchy skin,Loss of appetite,Conjunctivitis_959626
Sore throat,Depression,Sweating,Hepatitis B_293001
Palpitations,Nausea,Itchy skin,Mononucleosis_85777
Muscle pain,Anxiety,Jaundice,Thalassemia_814977
Tremors,Diarrhea,Anxiety,Typhoid_656384
Abdominal pain,Hearing loss,Constipation,Celiac Disease_528143
Swollen glands,Blurred vision,Fever,Bronchitis_242666
Sweating,Sore throat,Constipation,Cholera_790391
Chest pain,Nausea,Depression,Chickenpox_537521
Swollen glands,Cough,Wheezing,Chikungunya_907368
Jaundice,Muscle pain,Runny nose,Cholera_642225
Sneezing,Sore throat,Fatigue,Pneumonia_924471
Palpitations,Weight loss,Constipation,Jaundice_168618
Headache,Vomiting,Back pain,Lupus_123218
Muscle pain,Shortness of breath,Chills,Measles_534137
Weight loss,Itchy skin,Rash,Mononucleosis_82511
Weight loss,Depression,Swollen glands,Meningitis_748636
Chest pain,Swollen glands,Muscle pain,Bronchitis_625984
Insomnia,Swollen glands,Jaundice,Pneumonia_631451
Back pain,Rash,Jaundice,Influenza_917108
Depression,Jaundice,Chills,Thalassemia_4273
Sneezing,Chills,Palpitations,Hypertension_184830
Hair loss,Blurred vision,Diarrhea,Meningitis_130902
Chills,Fatigue,Vomiting,Arthritis_356837
Weight loss,Headache,Abdominal pain,Celiac Disease_849177
Itchy skin,Rash,Tingling,COVID-19_514469
Vomiting,Fatigue,Muscle pain,Thalassemia_458431
Back pain,Rash,Fatigue,Sinusitis_29570
Fatigue,Hearing loss,Swollen glands,Rabies_162048
Jaundice,Depression,Anxiety,Diabetes_69599
Joint pain,Headache,Anxiety,Gastroenteritis_916895
Vomiting,Palpitations,Red eyes,Malaria_697183
Fever,Sweating,Anxiety,Influenza_54470
Itchy skin,Chills,Back pain,Epilepsy_767026
Nausea,Back pain,Hair loss,Psoriasis_193695
Palpitations,Chest pain,Muscle pain,Vertigo_836555
Itchy skin,Weight loss,Abdominal pain,Tetanus_932138
Depression,Diarrhea,Rash,Hypertension_843918
Swollen glands,Tingling,Blurred vision,Ulcerative Colitis_41765
Palpitations,Nausea,Blurred vision,Multiple Sclerosis_235278
Tingling,Tremors,Abdominal pain,Thalassemia_446333
Abdominal pain,Back pain,Hair loss,Lupus_258550
Red eyes,Hearing loss,Sneezing,Mononucleosis_480411
Tingling,Wheezing,Dizziness,Thalassemia_409211
Vomiting,Rash,Fever,Hepatitis A_490050
Sweating,Swollen glands,Sore throat,Dengue_112064
Swollen glands,Tremors,Muscle pain,Gonorrhea_466511
Hair loss,Abdominal pain,Loss of appetite,COVID-19_265333
Tingling,Blurred vision,Wheezing,Cholera_610623
Wheezing,Tingling,Hair loss,Gastroenteritis_296171
Sweating,Fatigue,Sore throat,Thalassemia_305527
Depression,Hearing loss,Back pain,Scabies_274703
Swollen glands,Depression,Jaundice,Hepatitis B_211903
Loss of appetite,Rash,Insomnia,COVID-19_179819
Diarrhea,Runny nose,Chills,Bronchitis_692868
Insomnia,Vomiting,Dizziness,Migraine_454309
Depression,Back pain,Wheezing,Chickenpox_134147
Tremors,Dry mouth,Sneezing,Glaucoma_516374
Loss of appetite,Muscle pain,Fatigue,Hypertension_271724
Swollen glands,Fever,Headache,Syphilis_886413
Wheezing,Chest pain,Sneezing,Conjunctivitis_819234
Wheezing,Dry mouth,Sweating,Celiac Disease_7377
Diarrhea,Headache,Shortness of breath,Vertigo_638341
Muscle pain,Jaundice,Vomiting,COVID-19_266621
Itchy skin,Swollen glands,Headache,Celiac Disease_408773
Anxiety,Weight loss,Headache,COVID-19_267311
Jaundice,Hearing loss,Hair loss,Migraine_457161
Swollen glands,Loss of appetite,Rash,Tuberculosis_19876
Diarrhea,Dry mouth,Chills,COVID-19_289437
Shortness of breath,Night sweats,Back pain,Malaria_199095
Sweating,Fever,Dry mouth,Rabies_708666
Abdominal pain,Sweating,Itchy skin,Chikungunya_901618
Hearing loss,Loss of appetite,Fatigue,Gonorrhea_956135
Blurred vision,Chills,Sneezing,Migraine_471513
Jaundice,Tremors,Weight loss,Gastroenteritis_963079
Sneezing,Headache,Dry mouth,Multiple Sclerosis_26668
Sore throat,Itchy skin,Joint pain,Hepatitis A_470362
Dry mouth,Tingling,Diarrhea,Migraine_909571
Vomiting,Swollen glands,Joint pain,Epilepsy_794488
Constipation,Cough,Insomnia,Malaria_632139
Depression,Fever,Red eyes,Gonorrhea_168983
Nausea,Vomiting,Constipation,Conjunctivitis_422990
Red eyes,Fever,Wheezing,Gastroenteritis_648347
Anxiety,Shortness of breath,Hair loss,Tetanus_14346
Wheezing,Jaundice,Swollen glands,Gastroenteritis_618769
Joint pain,Cough,Blurred vision,Influenza_195874
Abdominal pain,Shortness of breath,Tingling,Chickenpox_865731
Nausea,Tingling,Abdominal pain,Diabetes_32569
Shortness of breath,Depression,Tingling,Thalassemia_265691
Dizziness,Sore throat,Shortness of breath,Scabies_294897
Hair loss,Headache,Tingling,Multiple Sclerosis_751720
Anxiety,Swollen glands,Weight loss,Measles_987743
Loss of appetite,Joint pain,Hearing loss,Gonorrhea_505381
Runny nose,Tremors,Chest pain,Depression_193819
Chills,Hearing loss,Rash,Glaucoma_311168
Abdominal pain,Muscle pain,Loss of appetite,Influenza_27698
Diarrhea,Blurred vision,Jaundice,HIV/AIDS_360758
Dry mouth,Tingling,Weight loss,Glaucoma_964874
Chills,Back pain,Anxiety,Mononucleosis_534231
Palpitations,Insomnia,Sneezing,Anemia_270448
Jaundice,Weight loss,Hair loss,Gonorrhea_547839
Fever,Abdominal pain,Blurred vision,Leprosy_947353
Dry mouth,Back pain,Headache,Diabetes_430285
Itchy skin,Weight loss,Blurred vision,HIV/AIDS_611366
Sweating,Chest pain,Fatigue,Sinusitis_842942
Muscle pain,Loss of appetite,Fatigue,Lupus_743344
Weight loss,Swollen glands,Fatigue,COVID-19_676343
Runny nose,Fever,Red eyes,Pneumonia_240681
Back pain,Sweating,Nausea,Mononucleosis_590719
Itchy skin,Muscle pain,Headache,Hypertension_459864
Night sweats,Blurred vision,Sweating,Psoriasis_570297
Cough,Sweating,Tremors,Hepatitis A_614250
Wheezing,Chest pain,Loss of appetite,Meningitis_448118
Rash,Abdominal pain,Fatigue,Glaucoma_163048
Sweating,Chest pain,Constipation,Zika Virus_184598
Weight loss,Anxiety,Sneezing,Dengue_220256
Back pain,Hair loss,Fever,Dengue_437330
Chest pain,Joint pain,Nausea,Hypertension_299784
Wheezing,Sore throat,Fever,Depression_605243
Runny nose,Headache,Hearing loss,Mononucleosis_198891
Anxiety,Back pain,Sweating,Tetanus_969950
Sweating,Sneezing,Diarrhea,Lupus_347422
Tremors,Swollen glands,Tingling,Psoriasis_456309
Tingling,Itchy skin,Hair loss,Typhoid_104706
Palpitations,Hearing loss,Loss of appetite,Diabetes_363723
Hearing loss,Sneezing,Sore throat,Thalassemia_911071
Palpitations,Muscle pain,Hearing loss,Leprosy_300363
Dizziness,Hair loss,Headache,Mononucleosis_273963
Headache,Joint pain,Sore throat,Sinusitis_286618
Sore throat,Red eyes,Cough,Zika Virus_725236
Sweating,Runny nose,Anxiety,Depression_261439
Jaundice,Sore throat,Muscle pain,Migraine_991819
Chest pain,Fever,Blurred vision,Anemia_931422
Fever,Wheezing,Sweating,Multiple Sclerosis_476548
Depression,Back pain,Wheezing,Sinusitis_754300
Weight loss,Chest pain,Back pain,Chickenpox_142427
Nausea,Muscle pain,Sweating,Asthma_778691
Itchy skin,Blurred vision,Joint pain,Tetanus_428070
Chills,Weight loss,Chest pain,Tetanus_483408
Back pain,Tremors,Sweating,Measles_927851
Wheezing,Blurred vision,Sneezing,Mononucleosis_840407
Diarrhea,Sneezing,Loss of appetite,Anemia_756208
Chest pain,Itchy skin,Muscle pain,Influenza_237044
Hair loss,Cough,Fever,Anemia_235856
Tremors,Rash,Dry mouth,Chikungunya_766148
Insomnia,Diarrhea,Back pain,Epilepsy_977246
Sweating,Swollen glands,Red eyes,Epilepsy_784506
Chest pain,Insomnia,Dry mouth,UTI_723302
Back pain,Itchy skin,Anxiety,Tetanus_45120
Tremors,Constipation,Jaundice,Tetanus_243150
Rash,Palpitations,Depression,Anemia_169110
Weight loss,Headache,Wheezing,Celiac Disease_288069
Night sweats,Palpitations,Dizziness,Epilepsy_176386
Sweating,Tingling,Fever,Migraine_860581
Night sweats,Weight loss,Sore throat,Typhoid_546490
Fatigue,Constipation,Wheezing,Gastroenteritis_790533
Fever,Chills,Vomiting,Asthma_110127
Hair loss,Dry mouth,Vomiting,Jaundice_12494
Fever,Anxiety,Red eyes,Depression_583669
Fatigue,Headache,Jaundice,Rabies_736082
Insomnia,Tingling,Wheezing,Scabies_16275
Back pain,Fatigue,Fever,Syphilis_295865
Back pain,Itchy skin,Loss of appetite,Ulcerative Colitis_671873
Dry mouth,Sweating,Insomnia,Malaria_133591
Hearing loss,Hair loss,Loss of appetite,Rabies_231462
Fatigue,Jaundice,Palpitations,Malaria_176233
Weight loss,Swollen glands,Cough,Celiac Disease_85255
Diarrhea,Fever,Chills,Mononucleosis_475719
Diarrhea,Depression,Jaundice,Typhoid_886476
Anxiety,Chills,Cough,Gastroenteritis_758931
Depression,Night sweats,Fatigue,Rabies_989680
Sweating,Jaundice,Vomiting,Lupus_992802
Hearing loss,Diarrhea,Constipation,Migraine_191143
Jaundice,Diarrhea,Sore throat,Tuberculosis_808362
Sneezing,Hair loss,Cough,Malaria_567463
Anxiety,Joint pain,Tingling,Tetanus_654114
Blurred vision,Joint pain,Hair loss,Jaundice_715466
Depression,Sneezing,Red eyes,Bronchitis_409002
Dry mouth,Headache,Muscle pain,Hepatitis B_793987
Diarrhea,Palpitations,Shortness of breath,Mononucleosis_547433
Red eyes,Tingling,Rash,Ulcerative Colitis_923769
Red eyes,Night sweats,Vomiting,Glaucoma_698028
